date,termination,corrigenda,movement,employmentopp,engagement,promotion,cancellation,special
2007-08-09,10,7,114,449,416,412,34,0
2007-08-16,35,1,110,444,464,301,9,0
2007-08-23,11,2,116,421,690,447,13,0
2007-08-30,8,1,91,444,431,364,20,0
2007-09-06,9,5,129,384,524,379,17,0
2007-09-13,16,8,109,427,317,293,7,0
2007-09-20,5,2,116,400,363,467,11,0
2007-09-27,19,5,133,385,388,328,48,0
2007-10-04,17,5,148,380,370,387,21,0
2007-10-11,14,1,98,335,267,293,29,0
2007-10-18,16,50,141,394,316,366,34,0
2007-10-25,9,4,79,406,378,513,15,0
2007-11-01,10,2,103,400,436,340,12,0
2007-11-08,7,16,72,375,250,366,31,0
2007-11-15,10,3,68,330,265,283,7,0
2007-11-22,7,1,124,390,336,356,17,0
2007-11-29,12,5,86,364,491,312,7,0
2007-12-06,12,5,128,297,426,337,5,0
2007-12-13,11,3,122,247,272,414,7,1
2007-12-20,9,2,123,196,273,501,13,0
2008-01-10,22,5,165,321,614,747,20,0
2008-01-17,15,1,174,293,317,466,13,0
2008-01-24,25,2,89,325,397,426,14,0
2008-01-31,15,11,71,371,443,328,17,0
2008-02-07,8,2,73,273,266,226,14,0
2008-02-14,15,1,55,316,467,328,28,0
2008-02-21,11,2,46,316,486,191,23,0
2008-02-28,8,5,48,319,587,197,11,0
2008-03-06,13,4,46,328,267,288,4,0
2008-03-13,9,2,45,350,163,184,7,0
2008-03-20,14,3,51,240,155,196,6,0
2008-03-27,11,1,46,225,541,118,3,0
2008-04-03,14,1,62,225,319,284,11,0
2008-04-10,25,3,43,252,173,216,7,0
2008-04-17,12,4,59,325,149,229,11,0
2008-04-24,18,1,49,275,179,226,6,0
2008-05-01,13,3,45,290,167,192,4,0
2008-05-08,24,1,55,243,229,192,7,0
2008-05-15,17,5,66,294,225,204,3,0
2008-05-22,11,1,70,278,189,234,10,0
2008-05-29,31,4,60,300,245,262,9,0
2008-06-05,35,3,78,283,186,208,6,0
2008-06-12,19,2,41,232,152,153,6,0
2008-06-19,42,0,62,279,211,222,9,0
2008-06-26,28,3,71,301,343,189,6,0
2008-07-03,63,3,64,227,304,244,4,0
2008-07-10,80,1,81,286,215,223,8,0
2008-07-17,104,3,65,296,163,175,6,0
2008-07-24,96,0,74,258,262,188,3,0
2008-07-31,81,4,58,292,234,189,3,0
2008-08-07,33,0,109,300,200,167,5,0
2008-08-14,46,2,49,351,298,270,10,0
2008-08-21,22,2,99,270,368,221,7,0
2008-08-28,24,3,57,315,210,230,5,0
2008-09-04,25,2,60,300,282,180,7,0
2008-09-11,60,3,81,291,233,258,7,0
2008-09-18,24,2,115,330,206,329,8,0
2008-09-25,20,6,73,278,163,271,7,0
2008-10-02,15,3,71,300,243,226,6,0
2008-10-09,18,3,58,336,183,166,6,0
2008-10-16,23,3,76,320,214,391,3,0
2008-10-23,27,1,86,318,256,271,10,0
2008-10-30,15,0,63,345,228,286,4,0
2008-11-06,10,3,62,351,151,292,11,0
2008-11-13,39,3,89,248,222,248,8,0
2008-11-20,9,37,51,302,268,252,8,0
2008-11-27,10,5,65,349,188,252,7,0
2008-12-04,46,2,70,265,249,249,7,0
2008-12-11,14,0,86,243,217,369,8,1
2008-12-18,17,6,92,247,283,372,4,1
2009-01-08,15,6,155,286,428,517,10,0
2009-01-15,12,3,120,247,356,412,7,0
2009-01-22,4,1,73,288,358,298,25,0
2009-01-29,6,2,64,224,239,163,3,0
2009-02-05,7,7,72,229,432,147,4,0
2009-02-12,11,7,57,216,306,134,6,0
2009-02-19,29,1,56,221,445,163,6,0
2009-02-26,12,3,52,258,400,170,9,0
2009-03-05,9,4,48,254,609,138,2,0
2009-03-12,2,0,35,216,204,119,3,0
2009-03-19,9,3,37,237,227,191,3,0
2009-03-26,11,1,49,171,308,169,7,0
2009-04-02,30,1,39,196,246,138,8,0
2009-04-09,23,2,49,148,209,197,4,0
2009-04-16,7,1,35,156,134,129,1,0
